,p1,p2,seed,our_ilp_max_2_alt_alteration_recall,our_ilp_max_2_alt_alteration_precision,our_ilp_max_2_alt_pathway_accuracy,our_ilp_max_2_alt_dependency_accuracy,our_ilp_no_max_alt_alteration_recall,our_ilp_no_max_alt_alteration_precision,our_ilp_no_max_alt_pathway_accuracy,our_ilp_no_max_alt_dependency_accuracy,MASTRO_trajectory_accuracy,MASTRO_alteration_precision,MASTRO_alteration_recall,MASTRO_expanded_dependency_precision,MASTRO_expanded_dependency_recall,MASTRO_expanded_dependency_accuracy,PhyloPath_expanded_dependency_precision,PhyloPath_expanded_dependency_recall,PhyloPath_expanded_dependency_accuracy,our_ilp_max_2_alt_alteration_f1,our_ilp_no_max_alt_alteration_f1,MASTRO_alteration_f1,MASTRO_expanded_dependency_f1,PhyloPath_expanded_dependency_f1
69,0.8,0.5,5,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.0,<NOT_DONE>,0.625,1.0,0.3333333333333333,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.5,0.7692307692307693,0.5,0.7499999999999999
70,0.8,0.5,6,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.5555555555555556,1.0,0.23076923076923078,0.75,0.75,1.0,1.0,1.0,1.0,0.47619047619047616,0.7142857142857143,0.3529411764705882,1.0
71,0.8,0.5,7,1.0,0.8333333333333334,0.6666666666666666,0.0,1.0,0.2631578947368421,0.0,0.0,,1.0,1.0,0.4444444444444444,1.0,1.0,0.6,1.0,1.0,0.9090909090909091,0.4166666666666667,1.0,0.6153846153846153,0.7499999999999999
72,0.8,0.5,8,1.0,1.0,1.0,1.0,0.6,0.1428571428571428,0.0,0.0,,0.42857142857142855,0.6,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2307692307692307,0.5,,1.0
73,0.8,0.5,9,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.625,1.0,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,1.0,0.47619047619047616,0.7692307692307693,0.46153846153846156,1.0
74,0.8,0.5,10,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,,0.5555555555555556,1.0,0.3076923076923077,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736841,0.7142857142857143,0.47058823529411764,1.0
75,0.8,0.5,11,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.3333333333333333,0.0,,0.35714285714285715,1.0,0.23076923076923078,0.75,0.75,1.0,1.0,1.0,1.0,0.5263157894736841,0.5263157894736842,0.3529411764705882,1.0
76,0.8,0.5,12,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.0,,0.8333333333333334,1.0,0.375,0.75,0.75,1.0,1.0,1.0,1.0,0.4,0.9090909090909091,0.5,1.0
77,0.8,0.5,13,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,,0.625,1.0,0.26666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7692307692307693,0.4210526315789474,1.0
78,0.8,0.5,14,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,,0.8333333333333334,1.0,0.3333333333333333,0.75,0.75,1.0,1.0,1.0,1.0,0.5882352941176471,0.9090909090909091,0.46153846153846156,1.0
79,0.8,0.5,15,1.0,1.0,1.0,1.0,0.6,0.1428571428571428,0.0,0.0,,0.7142857142857143,1.0,0.42857142857142855,0.75,0.75,1.0,1.0,1.0,1.0,0.2307692307692307,0.8333333333333333,0.5454545454545454,1.0
80,0.8,0.5,16,1.0,1.0,1.0,1.0,1.0,0.3125,0.0,0.0,,0.8333333333333334,1.0,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,0.47619047619047616,0.9090909090909091,0.6153846153846153,1.0
81,0.8,0.5,17,1.0,1.0,1.0,1.0,0.8,0.2222222222222222,0.0,0.0,,0.625,1.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.3478260869565218,0.7692307692307693,0.4285714285714285,1.0
82,0.8,0.5,18,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,0.0,,0.7142857142857143,1.0,0.2727272727272727,0.75,0.75,1.0,1.0,1.0,1.0,0.5,0.8333333333333333,0.39999999999999997,1.0
83,0.8,0.5,19,1.0,1.0,1.0,1.0,1.0,0.4545454545454545,0.0,0.0,,0.7142857142857143,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6249999999999999,0.8333333333333333,0.4,1.0
84,0.8,0.5,20,1.0,1.0,1.0,1.0,0.8,0.25,0.0,0.0,,0.7142857142857143,1.0,0.3,0.75,0.75,1.0,1.0,1.0,1.0,0.38095238095238093,0.8333333333333333,0.4285714285714285,1.0
85,0.8,0.8,1,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,<NOT_DONE>,0.625,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.5882352941176471,0.7692307692307693,0.5,1.0
86,0.8,0.8,2,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0,<NOT_DONE>,0.4166666666666667,1.0,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,0.5882352941176471,0.32,1.0
87,0.8,0.8,3,1.0,1.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.0,<NOT_DONE>,0.5,1.0,0.23529411764705882,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333333,0.6666666666666666,0.38095238095238093,1.0
88,0.8,0.8,4,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.0,<NOT_DONE>,0.45454545454545453,1.0,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.625,0.3636363636363636,1.0
89,0.8,0.8,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,<NOT_DONE>,0.45454545454545453,1.0,0.19047619047619047,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,0.32,1.0
90,0.8,0.8,6,1.0,1.0,1.0,1.0,1.0,0.3571428571428571,0.0,0.0,,0.5,1.0,0.21052631578947367,1.0,1.0,1.0,1.0,1.0,1.0,0.5263157894736841,0.6666666666666666,0.34782608695652173,1.0
91,0.8,0.8,7,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.4166666666666667,1.0,0.18181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5882352941176471,0.3076923076923077,1.0
